,Cumulative Return,Rank
Financials,0.177274959720214,8
Utilities,0.04923471347922162,11
Discretionary,0.30956970033033054,2
Stapels,0.05229307261823431,10
Energy,0.5296675660909146,1
Health,0.18367872066712648,6
Industrial,0.178011965545026,7
Tech,0.2601587676446666,4
Telecom,0.23971948592161357,5
Materials,0.2669883828702717,3
Real Estate,0.15702929651675643,9
